t_us,x_raw,y_raw,z_raw
1301695205,262,23,-33
1301696455,266,30,-36
1301698952,266,27,-29
1301700202,267,31,-33
1301701452,267,26,-26
1301702702,270,28,-30
1301703952,272,32,-30
1301705202,268,34,-27
1301706452,266,28,-32
1301707702,265,26,-31
1301708952,267,26,-32
1301710202,266,27,-36
1301711452,268,29,-33
1301712702,267,28,-34
1301713952,268,28,-31
1301715202,268,28,-34
1301716452,262,27,-36
1301717702,267,26,-33
1301718952,263,29,-34
1301720202,266,29,-32
1301721452,263,31,-39
1301722702,265,29,-33
1301723952,264,26,-32
1301725202,266,28,-31
1301726452,264,27,-33
1301727702,265,27,-36
1301728952,267,25,-30
1301731370,266,26,-27
1301732620,265,36,-32
1301733870,269,29,-32
1301735120,268,31,-35
1301736370,269,27,-31
1301737620,264,27,-32
1301738870,267,28,-33
1301740120,262,29,-34
1301741370,264,27,-37
1301742620,262,28,-32
1301743870,264,26,-33
1301745120,263,27,-35
1301746370,266,26,-37
1301747620,264,28,-37
1301748870,262,30,-34
1301750120,264,27,-31
1301751370,267,27,-32
1301752620,266,27,-28
1301753870,261,30,-32
1301755120,265,30,-37
1301756370,265,28,-31
1301757620,263,30,-34
1301758870,261,29,-31
1301760120,265,28,-31
1301761370,268,28,-32
1301763923,265,30,-35
1301765173,267,31,-31
1301766423,265,28,-28
1301767673,267,25,-32
1301768923,268,29,-33
1301770173,268,31,-32
1301771423,266,28,-34
1301772673,266,24,-34
1301773923,267,28,-33
1301775173,269,30,-35
1301776423,266,26,-34
1301777673,266,32,-32
1301778923,265,22,-34
1301780173,267,32,-36
1301781423,267,28,-33
1301782673,266,25,-32
1301783923,264,30,-36
1301785173,265,27,-35
1301786423,265,29,-30
1301787673,267,25,-35
1301788923,265,27,-39
1301790173,268,29,-32
1301791423,268,29,-34
1301792673,265,29,-34
1301793923,266,26,-35
1301796395,267,25,-34
1301797645,270,31,-33
1301798895,268,31,-31
1301800145,269,31,-32
1301801395,268,31,-36
1301802645,271,27,-35
1301803895,266,31,-33
1301805145,266,28,-31
1301806395,267,25,-35
1301807645,266,29,-32
1301808895,265,26,-31
1301810145,266,31,-32
1301811395,262,24,-33
1301812645,264,29,-32
1301813895,265,28,-38
1301815145,265,26,-36
1301816395,264,29,-39
1301817645,266,30,-32
1301818895,261,28,-32
1301820145,267,25,-38
1301821395,264,31,-37
1301822645,267,23,-38
1301823895,265,33,-30
1301825145,266,29,-33
1301826395,262,29,-30
1301828865,267,28,-38
1301830115,267,27,-27
1301831365,269,28,-28
1301832615,263,26,-30
1301833865,269,25,-28
